elapsedTime;nombre;et_x;et_y;deep
0.0230;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.67;432.67;3.21;
0.0370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.62;432.28;3.21;
0.0590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.53;431.92;3.21;
0.0810;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.13;431.93;3.21;
0.1040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.84;431.54;3.21;
0.1270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.67;431.48;3.21;
0.1480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.49;431.81;3.21;
0.1700;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.35;432.11;3.21;
0.1920;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.38;432.47;3.21;
0.2140;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.41;432.25;3.21;
0.2370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.29;431.99;3.21;
0.2590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.44;431.91;3.21;
0.2810;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.46;431.89;3.21;
0.3030;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.03;431.60;3.21;
0.3250;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;252.83;431.87;3.21;
0.3480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;252.63;432.42;3.21;
0.3700;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;252.11;433.24;3.21;
0.3930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;252.28;433.35;3.21;
0.4150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;252.75;433.31;3.21;
0.4360;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.46;433.13;3.21;
0.4590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;253.87;432.75;3.21;
0.4820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.56;432.16;3.21;
0.5030;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.08;431.74;3.21;
0.5250;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.87;431.23;3.21;
0.5470;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.90;430.35;3.21;
0.5700;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.85;429.74;3.21;
0.5920;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.13;429.11;3.21;
0.6140;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.65;429.13;3.21;
0.6380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.65;428.58;3.21;
0.6590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.34;428.32;3.21;
0.6810;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.74;428.27;3.21;
0.7030;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.91;428.14;3.21;
0.7250;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.89;427.89;3.21;
0.7470;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.74;427.39;3.21;
0.7700;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.37;427.05;3.21;
0.7930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;256.14;427.26;3.21;
0.8160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.33;426.97;3.21;
0.8380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.05;426.71;3.21;
0.8600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.73;426.67;3.21;
0.8830;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.41;426.77;3.21;
0.9050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.44;427.02;3.21;
0.9280;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.64;427.06;3.21;
0.9500;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.70;426.86;3.21;
0.9730;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.85;426.34;3.21;
0.9950;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.25;426.02;3.21;
1.0180;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.36;425.94;3.21;
1.0390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.39;425.89;3.21;
1.0620;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;255.13;426.16;3.21;
1.0840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.93;426.15;3.21;
1.1070;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.90;425.79;3.21;
1.1290;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;254.82;425.49;3.21;
