elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z;head_quat_xyzw;Eye_Right_Blink;Eye_Left_Blink
0.0230;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5818;-1.1777;0.5789849;0.6004612;-0.4149;1.6291;-1.2984;5.9192;269.0828;0.8249;(.0311, -.7120, .0418, .7002);0.0000;0.0000
0.0340;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5823;-1.1784;0.5785714;0.6007227;-0.4151;1.6289;-1.2984;5.9479;269.0463;0.8471;(.0311, -.7123, .0422, .7000);0.0000;0.0000
0.0480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5816;-1.1777;0.5790046;0.6003488;-0.4153;1.6288;-1.2984;5.9778;269.0420;0.8650;(.0312, -.7123, .0425, .6999);0.0000;0.0000
0.0700;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5798;-1.1786;0.5784429;0.5992706;-0.4156;1.6288;-1.2985;6.0055;269.0371;0.8853;(.0312, -.7123, .0428, .6999);0.0000;0.0000
0.0920;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5815;-1.1756;0.5802333;0.6002553;-0.4159;1.6288;-1.2985;6.0035;269.0070;0.9309;(.0309, -.7125, .0430, .6997);0.0000;0.0000
0.1150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5806;-1.1767;0.5795829;0.5997314;-0.4162;1.6287;-1.2986;6.0344;268.9858;0.9401;(.0310, -.7126, .0433, .6995);0.0000;0.0000
0.1390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5845;-1.1755;0.5803419;0.6020767;-0.4165;1.6287;-1.2986;6.0380;268.9710;0.9319;(.0311, -.7127, .0433, .6994);0.0000;0.0000
0.1590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5816;-1.1776;0.5790501;0.6003032;-0.4166;1.6287;-1.2986;6.0123;268.9588;0.9102;(.0311, -.7128, .0430, .6994);0.0000;0.0000
0.1820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5863;-1.1689;0.584262;0.6031526;-0.4169;1.6287;-1.2986;5.9898;268.9464;0.8360;(.0314, -.7129, .0424, .6993);0.0000;0.0000
0.2040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5872;-1.1697;0.5837693;0.6036993;-0.4171;1.6287;-1.2986;5.9605;268.9481;0.8446;(.0312, -.7129, .0423, .6993);0.0000;0.0000
0.2260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5812;-1.1705;0.5833098;0.6000813;-0.4173;1.6286;-1.2986;5.9763;268.9516;0.8925;(.0310, -.7128, .0426, .6993);0.0000;0.0000
0.2480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5801;-1.1698;0.5837536;0.5994229;-0.4174;1.6286;-1.2986;5.9963;268.9427;0.9180;(.0309, -.7129, .0429, .6993);0.0000;0.0000
0.2700;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5764;-1.1720;0.5824385;0.5972016;-0.4175;1.6286;-1.2986;6.0029;268.9539;0.9136;(.0310, -.7128, .0429, .6993);0.0000;0.0000
0.2930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5761;-1.1705;0.5832966;0.5970535;-0.4177;1.6286;-1.2987;6.0079;268.9563;0.9306;(.0309, -.7128, .0431, .6993);0.0000;0.0000
0.3150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.5771;-1.1814;0.5767567;0.5976496;-0.4180;1.6287;-1.2986;6.0320;268.9210;0.9080;(.0312, -.7130, .0431, .6991);0.0000;0.0000
0.3370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4724;-1.2435;0.5395217;0.5348765;-0.4181;1.6287;-1.2985;6.0109;268.9057;0.8509;(.0314, -.7131, .0426, .6991);0.0000;0.0000
0.3600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4373;-1.2437;0.53941;0.5138375;-0.4183;1.6288;-1.2985;5.9688;268.8885;0.8077;(.0314, -.7132, .0421, .6990);0.0000;0.0000
0.3820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4550;-1.2202;0.5535441;0.5244148;-0.4186;1.6289;-1.2984;5.9048;268.8464;0.7925;(.0311, -.7135, .0416, .6988);0.0000;0.0000
0.4030;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4224;-1.2004;0.5653726;0.5048723;-0.4187;1.6289;-1.2983;5.8968;268.8577;0.8033;(.0310, -.7134, .0416, .6988);0.0000;0.0000
0.4260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4076;-1.3891;0.4522497;0.4959917;-0.4190;1.6289;-1.2982;5.9017;268.8902;0.8326;(.0309, -.7132, .0418, .6990);0.0000;0.0000
0.4470;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.4037;-1.3973;0.4473252;0.4936754;-0.4192;1.6289;-1.2981;5.9157;268.9443;0.8329;(.0310, -.7129, .0419, .6993);0.0000;0.0000
