elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z
0.0230;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3628;-1.3409;0.4811723;0.4691408;-0.4151;1.6289;-1.2984;5.9479;269.0463;0.8471
0.0370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3614;-1.3411;0.4810276;0.4683021;-0.4153;1.6288;-1.2984;5.9778;269.0420;0.8650
0.0590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3601;-1.3414;0.4808466;0.467556;-0.4156;1.6288;-1.2985;6.0055;269.0371;0.8853
0.0810;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3602;-1.3428;0.4800224;0.4676167;-0.4159;1.6288;-1.2985;6.0035;269.0070;0.9309
0.1040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3588;-1.3438;0.4794112;0.4667763;-0.4162;1.6287;-1.2986;6.0344;268.9858;0.9401
0.1270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3586;-1.3444;0.4790326;0.4666569;-0.4165;1.6287;-1.2986;6.0380;268.9710;0.9319
0.1480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3598;-1.3450;0.4787126;0.4673794;-0.4166;1.6287;-1.2986;6.0123;268.9588;0.9102
0.1700;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3609;-1.3455;0.4783788;0.4679855;-0.4169;1.6287;-1.2986;5.9898;268.9464;0.8360
0.1920;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3622;-1.3454;0.4784289;0.4687838;-0.4171;1.6287;-1.2986;5.9605;268.9481;0.8446
0.2140;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3614;-1.3453;0.4785273;0.4683314;-0.4173;1.6286;-1.2986;5.9763;268.9516;0.8925
